time,Im,Wm,Fault_type
99.2,9.4334080092072,121.250859163881,"Re"
99.3,9.92871832606652,127.617254152198,"Re"
99.4,9.6367360852119,123.864305320867,"Re"
99.5,9.54656287266252,122.705277800385,"Re"
99.6,9.46183376453922,122.11045975047,"Re"
99.7,9.17402005380647,119.771297559209,"Re"
99.8,9.44687531186899,125.592948559641,"Re"
99.9,8.77940949725707,119.545724636374,"Re"
100,8.71148005843885,122.100800646385,"Re"
100.1,8.14265362373091,117.499849748289,"Re"
100.2,8.08723524180871,119.683790158952,"Re"
100.3,8.15230616163774,123.2952387277,"Re"
100.4,7.93495672324989,122.250531733235,"Re"
100.5,7.6599483781197,119.872418812891,"Re"
100.6,7.64023417808062,121.133388122694,"Re"
100.7,7.53725647181494,120.790332471601,"Re"
100.8,7.46042091466101,120.601958910956,"Re"
100.9,7.22917330678891,117.669992912632,"Re"
101,7.28443822099151,119.197599813974,"Re"
101.1,7.34932520169203,120.72774612542,"Re"
101.2,7.51540559246824,123.785880547397,"Re"
101.3,7.21170217951737,118.974928236729,"Re"
101.4,7.67565864849371,126.716686707217,"Re"
101.5,7.00490105546791,115.63168636564,"Re"
101.6,7.29379255281998,120.306635599717,"Re"
101.7,7.22811688646136,119.061127452972,"Re"
101.8,7.15337175250301,117.611329422992,"Re"
101.9,7.42593201835644,121.814984437087,"Re"
102,6.94885328400984,113.689654515956,"Re"
102.1,7.28313695849752,118.810876638942,"Re"
102.2,7.15384570204453,116.332487515832,"Re"
102.3,7.3223353714453,118.671839568595,"Re"
102.4,7.01969874377092,113.365943348021,"Re"
102.5,7.10786782377307,114.370328913007,"Re"
102.6,7.06196764706578,113.205073291547,"Re"
102.7,7.09814203516813,113.349070630659,"Re"
102.8,7.15608072636456,113.830288919035,"Re"
102.9,7.15161655818393,113.313153612932,"Re"
103,7.21373823885986,113.846839128841,"Re"
103.1,7.36828947870138,115.826680085846,"Re"
103.2,7.07939907420515,110.846371735202,"Re"
103.3,7.25281247369994,113.115148754638,"Re"
103.4,7.22937459236616,112.308846261065,"Re"
