time,Im,Wm,Fault_type
184.5,12.984529647851,119.210467895225,"Im"
184.6,13.0473578174311,119.787290906591,"Im"
184.7,13.4281942168549,123.283735259842,"Im"
184.8,13.4366858926158,123.361697008794,"Im"
184.9,13.5687701476828,124.574357480538,"Im"
185,13.2051327316435,121.23581633304,"Im"
185.1,13.4280564037799,123.282470003294,"Im"
185.2,13.487762818579,123.830632303938,"Im"
185.3,13.5398771684336,124.309092147976,"Im"
185.4,13.7703435878218,126.424995490995,"Im"
185.5,13.3890371585187,122.924235811478,"Im"
185.6,13.2388073284472,121.544981512682,"Im"
185.7,13.3621297553688,122.677199976809,"Im"
185.8,13.6575765434187,125.389685588284,"Im"
185.9,13.8704495714526,127.34406468113,"Im"
186,13.3840790842406,122.878715921996,"Im"
186.1,13.358631106324,122.645079014329,"Im"
186.2,13.4993330801553,123.936858430998,"Im"
186.3,13.4305348932504,123.305224919911,"Im"
186.4,13.4105497666907,123.121742240697,"Im"
186.5,13.8984060889964,127.600732394747,"Im"
186.6,13.4425647950097,123.415670985834,"Im"
186.7,13.3361554460247,122.438730840526,"Im"
186.8,13.281019594927,121.932530709646,"Im"
186.9,13.0166874225926,119.505707189784,"Im"
187,13.1964297795325,121.155914864033,"Im"
187.1,13.0762267032578,120.052335038365,"Im"
187.2,13.3583656275361,122.642641663776,"Im"
187.3,13.3546198682915,122.608251992045,"Im"
187.4,13.5157786020812,124.087844136043,"Im"
187.5,14.1008768343922,129.459608530298,"Im"
187.6,13.3914739597289,122.946607989779,"Im"
187.7,13.174452192619,120.954139482851,"Im"
187.8,13.1756009487416,120.964686168683,"Im"
187.9,13.2376584439561,121.534433648304,"Im"
188,13.7284280973126,126.040170982816,"Im"
188.1,13.3491745173858,122.558258434563,"Im"
188.2,13.5192046932881,124.1192989478,"Im"
188.3,13.4144723059804,123.157754923231,"Im"
188.4,13.8277682335857,126.95220895778,"Im"
188.5,13.196069158839,121.152604019299,"Im"
188.6,12.8937145963578,118.376698396133,"Im"
188.7,13.6535890564421,125.353076623531,"Im"
188.8,13.7770773052206,126.486817491757,"Im"
188.9,13.9658205630618,128.21966209141,"Im"
189,13.3873921297969,122.909132865977,"Im"
189.1,13.5645292838141,124.535422272272,"Im"
189.2,13.3439527140893,122.510317259094,"Im"
189.3,13.4264336464911,123.267571530964,"Im"
189.4,13.6743941499089,125.544087387421,"Im"
189.5,13.2678610814458,121.81172290286,"Im"
189.6,13.6952883692942,125.735916412945,"Im"
189.7,13.8348309548524,127.017051530416,"Im"
189.8,13.5276624134676,124.196948951864,"Im"
189.9,13.7881258337018,126.588253607313,"Im"
190,13.0242653320364,119.575279685282,"Im"
190.1,13.2720624968463,121.850295936255,"Im"
190.2,13.4254669056923,123.258695920827,"Im"
190.3,13.2082804876455,121.264715759972,"Im"
190.4,13.6689907688556,125.494479153542,"Im"
190.5,13.515633695497,124.08651375426,"Im"
190.6,13.5472321698628,124.376618133555,"Im"
190.7,13.1443509300178,120.677780947252,"Im"
190.8,13.3181096491796,122.273053072922,"Im"
190.9,13.5294138498667,124.213028822163,"Im"
191,13.3260915694478,122.346334776277,"Im"
191.1,13.2805940971136,121.928624230566,"Im"
191.2,13.0296901591006,119.625084814163,"Im"
191.3,13.476080318997,123.72337572406,"Im"
191.4,13.658281161132,125.396154656442,"Im"
191.5,13.3050853332167,122.153477328396,"Im"
